Topic_ID,Top_Words
0,"lovely, also, drink, quiet, atmosphere, little, swim, go, relaxed, perfect"
1,"dog, people, summer, delicious, serve, night, evening, area, outside, amsterdam"
2,"amsterdam, 30, amazing, surprising, ever, also, summer, time, around, different"
3,"thank, time, around, seems, sunny, walk, day, star, world, corner"
4,"wa, dish, service, food, order, top, amsterdam, also, really, small"
5,"selection, friendly, food, tasty, super, asked, cat, staff, ambiance, atmosphere"
6,"café, wonderful, people, relax, highly, special, definitely, recommended, walk, loved"
7,"atmosphere, favorite, really, drink, food, take, super, plant, wa, lot"
8,"lovely, taste, go, grass, really, flower, yet, excellent, cozy, around"
9,"vegetarian, super, kid, love, concept, go, thanks, lovely, come, back"
10,"time, pleasant, child, inspiring, atmosphere, environment, experience, tiny, spot, enjoy"
11,"amsterdam, little, food, fine, one, garden, corona, nature, incredibly, chill"
12,"dog, little, restaurant, cafe, product, perfect, price, walk, drink, lovely"
13,"fun, disappointing, taken, code, experience, amsterdam, live, alternative, fantastic, even"
14,"food, location, service, atmosphere, seating, coffee, recommended, really, also, area"
15,"food, lovely, wa, meal, eat, summer, therefore, mind, amsterdam, also"
16,"amsterdam, north, swim, wa, help, hidden, service, gem, surrounded, people"
17,"wa, menu, food, staff, cozy, friendly, service, north, super, amazing"
18,"food, delicious, atmosphere, drink, service, beer, staff, also, inside, worth"
